OBJECT,Catalogue,Survey,off_u_gaia_0p7,off_u_gaia_1p0,dmag_u_0p7,dmag_u_1p0,off_u_0p7,off_u_1p0
KIDS_224.0_-0.5,KIDS_224p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.06704805216931894,-0.06766005216931895,0.0251823374622089,0.0291574407300652,0.09223038963152784,0.09681749289938414
KIDS_185.0_1.5,KIDS_185p0_1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.03363378162570892,0.035706781625708915,0.0132836342522716,0.0139427941489308,-0.020350147373437315,-0.021763987476778116
KIDS_29.4_-32.1,KIDS_29p4_m32p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.03986674782281682,-0.03903374782281682,0.0332758182177277,0.0330309931306547,0.07314256604054453,0.07206474095347151
KIDS_19.4_-29.2,KIDS_19p4_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.08648155563150728,-0.08649955563150727,0.0325183463231312,0.0368447190617064,0.11899990195463847,0.12334427469321367
KIDS_214.6_2.5,KIDS_214p6_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.0366411606595338,0.0410131606595338,0.0929634597890869,0.0931757936263609,0.056322299129553104,0.0521626329668271
KIDS_2.3_-28.2,KIDS_2p3_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.039365358810936724,-0.03867535881093673,0.0274347908792397,0.030706336207344,0.06680014969017642,0.06938169501828073
KIDS_343.2_-34.1,KIDS_343p2_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.09943934462628004,-0.09869034462628004,0.0532437759413697,0.0558050387405543,0.15268312056764974,0.15449538336683433
KIDS_346.9_-33.1,KIDS_346p9_m33p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.017868798481657122,0.017542798481657115,0.047368548319409,0.041670010157189,0.02949974983775188,0.024127211675531883
KIDS_45.6_-34.1,KIDS_45p6_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.015851034120812624,0.019059034120812612,0.122373534178357,0.1117400952129751,0.10652250005754438,0.09268106109216248
KIDS_180.5_3.5,KIDS_180p5_3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.04221275848931278,0.042776758489312776,0.1290510448522212,0.1341247338105064,0.08683828636290841,0.09134797532119363
